"date","close","volume","open","high","low"
"16:00","291.13","5,995,157","297.79","297.80","286.74"
"2018/06/05","291.1300","5877873.0000","297.7000","297.8000","286.7400"
"2018/06/04","296.7400","4793787.0000","294.3400","299.0000","293.5480"
"2018/06/01","291.8200","5417984.0000","285.8600","291.9500","283.8390"
"2018/05/31","284.7300","5912825.0000","287.2100","290.3700","282.9300"
"2018/05/30","291.7200","7473590.0000","283.2900","295.0050","281.6000"
"2018/05/29","283.7600","5657153.0000","278.5100","286.5000","276.1500"
"2018/05/25","278.8500","3872621.0000","277.6250","279.6400","275.6100"
"2018/05/24","277.8500","4170789.0000","278.4000","281.1100","274.8900"
"2018/05/23","279.0700","5972237.0000","277.7600","279.9099","274.0000"
"2018/05/22","275.0100","8938501.0000","287.7620","288.0000","273.4220"
"2018/05/21","284.4900","9167844.0000","281.3300","291.4900","281.3000"
"2018/05/18","276.8200","7243699.0000","284.6500","284.6500","274.0000"
"2018/05/17","284.5400","4418258.0000","285.9000","289.1873","283.9700"
"2018/05/16","286.4800","5669644.0000","283.8300","288.8100","281.5600"
"2018/05/15","284.1800","9509753.0000","285.0100","286.9600","280.5000"
"2018/05/14","291.9700","7265501.0000","303.3200","304.9400","291.6200"
"2018/05/11","301.0600","4665321.0000","307.7000","308.8800","299.0800"
"2018/05/10","305.0200","5642771.0000","307.4997","312.9900","304.1119"
"2018/05/09","306.8500","5712255.0000","300.4100","307.0100","300.0500"
"2018/05/08","301.9700","5927447.0000","300.7950","307.7500","299.0000"
"2018/05/07","302.7700","8673090.0000","297.5000","305.9588","295.1700"
"2018/05/04","294.0900","8565506.0000","283.0000","296.8600","279.5200"
"2018/05/03","284.4500","17339090.0000","278.7900","288.0400","275.2300"
"2018/05/02","301.1500","8346176.0000","298.5700","306.8500","297.7844"
"2018/05/01","299.9200","4614946.0000","293.5100","300.8200","293.2200"
"2018/04/30","293.9000","4224068.0000","293.6100","298.7300","292.5000"
"2018/04/27","294.0750","4346854.0000","285.3700","294.4700","283.8300"
"2018/04/26","285.4800","4348108.0000","278.7500","285.7900","276.5000"
"2018/04/25","280.6900","4000421.0000","283.5000","285.1600","277.2500"
"2018/04/24","283.4600","5678242.0000","285.0000","287.0900","278.4600"
"2018/04/23","283.3700","4880743.0000","291.2900","291.6200","282.3300"
"2018/04/20","290.2400","5622630.0000","295.1700","299.9800","289.7500"
"2018/04/19","300.0800","6083800.0000","291.0800","301.0100","288.5500"
"2018/04/18","293.3500","6531563.0000","291.0800","300.2400","288.1600"
"2018/04/17","287.6900","6931152.0000","288.8700","292.1700","282.5100"
"2018/04/16","291.2100","6289497.0000","299.0000","299.6600","289.0100"
"2018/04/13","300.3400","7319225.0000","303.6000","303.9499","295.9800"
"2018/04/12","294.0800","7595525.0000","302.3200","303.9500","293.6800"
"2018/04/11","300.9300","7470204.0000","300.7400","308.9800","299.6600"
"2018/04/10","304.7000","11017010.0000","298.9700","307.1000","293.6800"
"2018/04/09","289.6600","10241410.0000","300.3700","309.5000","289.2100"
"2018/04/06","299.3000","13516530.0000","301.0000","309.2800","295.5000"
"2018/04/05","305.7200","19025860.0000","289.3400","306.2600","288.2000"
"2018/04/04","286.9400","19880180.0000","252.7800","288.3700","252.0000"
"2018/04/03","267.5300","18829650.0000","269.8200","273.3500","254.4900"
"2018/04/02","252.4800","16093290.0000","256.2600","260.3318","244.5901"
